PAUTA,BREVE DESCRIPCION,COPY,MATERIAL,FECHA DE PUBLI,ESTADO,PRODUCTOS,CANAL,PAUTA ,FB Likes,FB ALCANCE,Ig Likes,IG ALCANCE,TT LIKES,TT ALCANCE,RESPONSABLE
,video Desafi Los alerces ,"20 km, más de 40 kayakistas y un escenario inigualable. 

Reviví la travesía que unió Lago Verde con el Lago Futalaufquen a través del río Arrayanes. 
Apostamos por el deporte para seguir poniendo en valor nuestro Parque Nacional Los Alerces.

¿Te sumás a la próxima edición?

#TravesíaKayak #LosAlerces #PatagoniaArgentina #Aventura",Bajada de kayaks.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/mVptMgjCV1oMZAem52eLqg/sdvUeBqGxMVdCrCCnxJaVQByPwS5TslxJmTckGcY-OFSA5bZslw3XZecFxWKSfXHesttbjkCHHrGQjNceebvytqSzVjLFQBolebgKwPD8bL5uI9usyVKg_9yaFdjxE7nmZZ1Mex25YV7oBvsYJ2b84F2r6qxpxqrbIXqV6wM1ms/L6Epqmk8KK8WdZt2lUpGw_meAWDdw53SZbEXgnobzrg),23/4/2026,PUBLICADO ,DEPORTIVO,"FACEBOOK,INSTAGRAM,TIKTOK",,,,220.0,6719.0,,,Marcela Cristina Mathon
,Alerzal Milenario ,"EL IMPERDIBLE DEL PARQUE NACIONAL LOS ALERCES 
Visitar al Abuelo es encontrarse cara a cara con la historia viva de la Patagonia: un gigante de más de 2.600 años que crece en el corazón de la selva valdiviana.

✅ La experiencia: partimos en Puerto Chucao para navegar las aguas cristalinas del Lago Menéndez antes de internarnos en el bosque. 

✅ Cuándo ir: las salidas operan todo el año (¡cada estación tiene su magia!). 

✅Tip viajero: el clima en la cordillera cambia rápido; vestite en capas (""estilo cebolla"") y elegí calzado cómodo.

#Esquel #Patagonia #AlerzalMilenario #ParqueNacionalLosAlerces ",DSC08208 (1).jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/YRzq0nasKo2daSVH6TzX2Q/9bNmJbh0Fp2gOREkVJJTOcOirXR8p7QA2DWlN7-eKxJqzz69BgGFRSFKYdiFGvgjwbPgo7XdKuC1zIdIvjY79SMGxrh0qWHubpeU1szLJYYWxuEkwAI1SEPi8Pv6Aon3oEXBjbnS1sfF7q6Na6yLz_wqNF_lQe0ApNcPfBgerHM/FMc9pfAM5yEZyv0ku9oE9toVR7921japi0jkR_pJXyw),24/4/2026,PUBLICADO ,"NATURALEZA,PAISAJE","FACEBOOK,INSTAGRAM",,,,261.0,7792.0,,,Marcela Cristina Mathon
,ANP PIEDRA PARADA ,"Área Protegida Piedra Parada

Donde alguna vez rugió un volcán gigante, hoy se despliega un paisaje imponente cargado de energía. A solo 125 km de Esquel, este sitio te espera para un recorrido fascinante por el pasado geológico de la Patagonia. 

📅 Temporada: todo el año.
💡 Para aprovechar al máximo la experiencia, consultá a las agencias de turismo: https://acortar.link/58Alz1
 
#geologia #PiedraParada #trekking #patagonia #aventura ","Corredordelosandes538.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/JQVIfh3-0xNHHYkOvZpxNA/Hann9SzsrM-gQjnzeFhuAdEw8fcp0fDXZcSo7M6bt_ogdH-PraQcwAK2AN1MVb8DqO6Q3TTJD-Mc5JERO9X8tfaoGyvDc03pPkrK62mgrPmCeDeGGQ1KgS89tocP1K9KAwAZ5vytb7fQ6bBFJ0ViiXkFGrBBvWSlJhOuyONu3T8/2m_lsBAFN1cjkwVQklyHI783lYUlENxhi81ckgA4fDc),Corredordelosandes512.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/BoGZ9V-LwTDgq3FrGFSSYg/0ZCLLB9GwLANYHXU4uAomBq1FEGBOlZrL81CTBe6ysNI7ub7KTMmvt9XXyGQAwZqHPTtmICo_CISLDsHWRSceF4COkMC2XadUM59l3AXDKJHIsGEmOulmJ2Jho8a7z7vnxpDInUiCutLKS5Ii9p6ho_vkIJ32inKrI9svfgPOLo/XT6weXRwKeq-2UcAHBMN0A-ApQvDkVtpGCt8VB1lRS4),Corredordelosandes578.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/5ez399Jbn8rBkYNJRCRisw/H-WBZpO2ujJ0eq7H0HPgFkgcuVjnBZSsm7JxzUJ7AYfcspTlJqzmY8MjtC3hw9ztsVmNG3isQ_PvEU5VYRBUEmC6GVhp8qETNISyytNdy7doYb6kGmgZYTiZ8cFkrIZiw_Nfy-AySPTyeU9uQqkCuQMhIhDm_-6eNFFnFIvTV6A/FBVdN9Nu3QgnDDz8QtPOzPqj-6a-nSQwsvckwrEWXVc)",25/4/2026,PUBLICADO ,"NATURALEZA,PAISAJE","FACEBOOK,INSTAGRAM",,,,151.0,6782.0,,,Marcela Cristina Mathon
PAUTA ,ECLIPSE ,"EL MEJOR LUGAR DEL MUNDO PARA VER EL ECLIPSE 2027
En febrero de 2027, el cielo nos regalará un espectáculo único: un eclipse solar anular, el famoso “anillo de fuego”. 
La Luna se alineará con el Sol y la Tierra creando un aro de luz perfecto que transformará el paisaje por unos minutos inolvidables.
Venís por el eclipse, te quedás por todo lo demás.
¿Te lo vas a perder?
Consultanos, te ayudamos a planificar tu viaje: +54 9 29 4552 9616 ",,26/5/2026,,,META ,,,,,,,,
,FIESTA DEL HONGO ,"EL BOSQUE TIENE UN SECRETO Y ESTE AÑO LO CELEBRAMOS.

Hay un mundo que existe debajo de tus pies, entre la madera húmeda y los rincones más secretos del bosque.
 
Ese mundo maravilloso tiene su momento especial en la Fiesta Del Hongo
 
Vení a descubrir el Reino Fungi en una edición llena de experiencias gastronómicas, talleres y salidas de campo en pleno bosque andino.

🗓️ 1, 2 y 3 de mayo
📍 Esquel, Chubut, Patagonia Argentina
ℹ️ Mas informacion: https://limitsadventure.com.ar/

 #FiestaDelHongo #Esquel #Patagonia #ReinoFungi #Patagonia","DSC07330 (1).jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/cjRR0UpgPvWyWy6rMyVg6Q/VCvTfkLl9DrjAU12LeiAq1Pol7AXhJPMr0_OSVhJK3uZpF1yB0CE5tAWSYHk50T7Hwklaq1tI5Opq1KI7L14zjGPeH_5cntGOemYoitA3YPuAV5bV89p_ugbn7jxNkstdGAiXGRig4FC90t_GFBAgV1ndCrrFn-Hbcu86wGdOVk/Z9BY0X2cxiKy9WgSw2WKa2-XsBSobjGP-CTWC_6qnUY),DSC07314.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/jR4JlGpYbMWtlZAMkJ8zeA/c7oO0wTDtQiYyQXWkE4tcXiYdE1iYg5s3zyhsl3JpoOGuUWmfjFYAPAk2ChglWTKQUYpFpBQbAQRee7B5iYS8tD5Ff07oLOwCX6t--zCM-JI0iMstOydm37jC0kpkJtYE4tu37pORsUIIG0iXHntcqBwfBezaFKAApjU79VqUmM/xfVqHwtgUxyaljCDnVOlHpf6JoUhOQxbokqTCJKqcyU)",27/4/2026,PUBLICADO ,EVENTOS,"FACEBOOK,INSTAGRAM",,,,102.0,4046.0,,,Marcela Cristina Mathon
,COLABORATIVO ,CROESO CASA DE TE ,,27/4/2026,PUBLICADO ,GASTRONOMÍA,INSTAGRAM,,,,153.0,6752.0,,,
,ECLIPSE,"ESQUEL: EL MEJOR LUGAR DEL MUNDO PARA VER EL ECLIPSE 2027

En febrero de 2027, el cielo nos regalará un espectáculo único: un eclipse solar anular, el famoso “anillo de fuego”. 

La Luna se alineará con el Sol y la Tierra creando un aro de luz perfecto que transformará el paisaje por unos minutos inolvidables.

Venís por el eclipse, te quedás por todo lo demás.
¿Te lo vas a perder?

Consultanos, te ayudamos a planificar tu viaje: +54 9 29 4552 9616 📲

#Esquel #Patagonia #PatagoniaArgentina #Eclipse2027 #EclipseSolarAnular",annular_see_ground1 copy.jpg (1).webp (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/DLOMO8BQ4mJDbfqgtLf-UQ/gUiCoyaavw7W2O8s68kZLUyXC01Ljr8gBozBKFXZgbKYAOT1QiGSV82DG5mG8TM8Kqor_JksrT66YM_zojdFVkpPBZizwhuTMY14Wp2vKfDyRhraZYund4rf22nQTQq8eo6RxeQJNCi6ZM3e-2273TXu8m4jpd0pOWqxQ_a3dYvbTrSa74uZihc5KGQRM-7A/RwlaPAfch-hTieqxHem492fsw8st3H9ORVdTvDcbEfQ),29/4/2026,PUBLICADO ,EVENTOS,"FACEBOOK,INSTAGRAM",,,,133.0,10260.0,,,Marcela Cristina Mathon
,DÍA DEL ANIMAL ,HISTORIA ( VIDEO ) ,,29/4/2026,PUBLICADO ,EFEMÉRIDES,HISTORIA,,,,,,,,Marcela Cristina Mathon
,PLEBISCITO,FOTO - HISTORIA ,WhatsApp Image 2026-04-27 at 2.35.04 PM (1).jpeg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/290uKWPSH1qBmTwO5aKyGQ/10F-4uo7eWP6mO-t2cKS3qjCrEtUGIVxYALNFq1ztxnM83E3IpffN3QuaSu31oOEqb_RNrjIv-ZPQf9MuAOK6snR0WIS5cAK5__4XT6qM0oJc5jhKXC7Fw-6XIk0XRMaAQRr55ihwZeXuS_zOXjKN6kpjktCkpHMtPblJY2wozJksF-r6EoyfoMhkoeOkvhd/RZn15gt2_Er4txoYJ_nSJQ8q-Gz-VSWwiDgfxjxTTek),30/4/2026,PUBLICADO ,EFEMÉRIDES,HISTORIA,,,,,,,,Marcela Cristina Mathon
,CARRUSEL 4 ACTIVIDADES ,"MAYO EN ESQUEL: 4 EVENTOS IMPERDIBLES PARA VIVIR EL OTOÑO EN LA CORDILLERA.

Gastronomía, música y deporte se combinan en este mes y te hará vivir el otoño a pleno. 🍂

Te invitamos a disfrutar del sabor de la gastronomía fungi, la magia del paisaje y la adrenalina del trail running, el mejor blues de la Patagonia y la tradición viva de la empanada más grande del mundo. 

¿Tenés consultas? ¡Escribinos!: +542945529616

#Esquel #Patagonia #TurismoArgentina #Gastronomía #Running",,30/4/2026,PUBLICADO ,EVENTOS,"FACEBOOK,INSTAGRAM",,,,347.0,21382.0,,,Yago Miguens
,DIA DEL TRABAJO ,FOTO HISTORIA ,DSC07845.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/TSE9rrxYb8qghS5NM2tqeA/kEEXNiGuP7m4cEdWg0Y50Az6NxNxS8HCaoz4QsNiyXo40UUYu7EAo6U283cjmSH_3u3WLeWKdigKK9KNqGHXCtRdiYHCB8JIZIOCKpI_iWALH66DiKMCoUC2t3te-JXknuq3L5-HTrx11ENWKuS9CKj4N6bEQLdDjsn84KBZtUk/8qVJsbjG7IKKTKQ6Vf1PIuvCTnRindhBznkO0yKGUYI),1/5/2026,PUBLICADO ,"EFEMÉRIDES,LA TROCHITA","FACEBOOK,INSTAGRAM",,,,,,,,Marcela Cristina Mathon
,CIUDAD DE ESQUEL,"¿Estás buscando tranquilidad?
La experiencia de conectar con la naturaleza sumada a la amabilidad de nuestra gente, convierten a la Ciudad de Esquel en un destino patagónico que enamora. ❤️
¡Hay mucho por conocer y cada estación del año es única! 

Te ayudamos a planificar tu viaje: 📲 +54 9 2945 52-9616
📍 Esquel - Chubut

#Esquel #Patagonia #EsquelTeHaceBien #LagunaLaZeta #Chubut ",CALLES DE ESQUEL-2.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/PYhkVtRKX6ol0-g4Lb_j7A/xg8O4EGwumCU9QDENYtorqFeqRGGM-4gcTCIgtnvJb6TOXJ2uep_FB4yGsvLPzyN2T6DuuwQI4Xdz-ZU_Qmv6ulqkJ4M7dxhmlCr1jOJSuJWLexmfi3LwrOgZIot8RyngWs4E8xX1ik-kQECUVeS4ZKbcLL3Nt3QNL6aWsWP9mE/lU8pSztm6t7ViYfIUjAtwQJXjU33z-zzFZshDB_9XNs),2/5/2026,PUBLICADO ,CIUDAD DE ESQUEL,"FACEBOOK,INSTAGRAM",,,,1600.0,43600.0,,,Marcela Cristina Mathon
,COLABORATIVO ,FIESTA DEL HONGO ,,,PUBLICADO ,,INSTAGRAM,,,,195.0,6200.0,,,
,CURVA DE LOS GUANACOS ,"Últimos días del otoño

Disfrutamos de los últimos días ""anaranjados"" en Esquel antes de que todo se vuelva blanco.
¡El invierno nos respira en la nuca y ya no podemos esperar! ❄️

#Esquel #Chubut #PatagoniaArgentina #Senderismo #Nieve #Mate",Video.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/URkOCsWLiWW21MsYOlyanw/FZnW8XNC58mC3v2OawzxixciNQ5wDDFbqe1GyP8jg3VbIwg5UYRwVkWqWeseI9qrREuk5NexsgTAruZi1vxvSNXOtfdfO8zGiCQJLtS4DR7SoXkOCVAXnmW4rhlyfAyJxJAsEC4HP9akGaSxr0Rx6g/dK9ENjOC2B_ZQRtOgENjR2exsGx_BRSjg6voZz1E7hw),4/5/2026,PUBLICADO ,"PAISAJE,OTOÑO","FACEBOOK,INSTAGRAM,TIKTOK",,,,175.0,7900.0,,,Marcela Cristina Mathon
,PASEO CON PERRO ,"PASEOS INOLVIDABLES POR LAGUNA LA ZETA

A 4 kilómetros de Esquel se encuentra la Reserva Natural Urbana Laguna La Zeta. Un lugar perfecto para pasear sin prisas, apreciando el paisaje, tomando unos mates... y, ¿por qué no?, con tu amigo fiel 🐶💖

Frená con la rutina y rodeate de la paz que Esquel te ofrece.
¡Te esperamos!

📸 @la_salchibanda_mdp

#Esquel #Patagonia #PatagoniaArgentina #Petfriendly #LagunaLaZeta",,5/5/2026,PUBLICADO ,,"FACEBOOK,INSTAGRAM",,,,401.0,9210.0,,,Marcela Cristina Mathon
PAUTA ,BLOG ,"ESQUEL TE ESPERA TODO EL AÑO 🤍 
💆‍♂️Esquel sigue activo y latente para que vivas una experiencia a tu medida. 
📅En tus vacaciones, en el próximo fin de semana largo o en una escapada, te esperamos siempre. 
¿Tenés consultas? Escribinos +54 2945 529616",,6/5/2026,,,META ,,,,,,,,
,GASTRONOMÍA - MERIENDA ,"
¿DULCE O SALADO?

En Esquel, merendar es el ritual obligado para ganarle al frío y descubrir sabores que te abrazan el alma.

¡Etiquetá a esa persona con la que compartirías una de estas tentadora merienda! ✨ 

#EsquelPatagoniaArgentina #Merienda #cosasricas #chocolate #TortaFritas","GUS07390.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/rfWAj5Q3hWW64Y_-EJbo9g/7G6VIE7Wo65E3wcWf69YvaEiq4PE7FzFSFNiubaxw6CEsg4eIIZW9X8zj99FMLYtXifvlptVJ7-k8CUMVfcHcnoz_hJt00hQ0cdhMoQruYOZ6h0Wpatgiii87bYp-CjlHelJx3i8KTLWUIzho9R1_OAjoEefigS5lrJUlK8XfcY/wllz6Z0L2GwS8pBoE24BuYAcQc0f70bbjRi9JEtnwPo),GUS07169.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/grK-n2AgbMhkIaP_qNs4Bw/IpmUotftTaRZiwrarh6XHR0DTStuyubSQNQzPClVuhw21ewxfZaqOIDl1edpvxgpsPjST11wCE2qhpDGS1X2gfoNkh0Mta0y-JKJ4NsEfwk7E6fYwJ93b_30L1l2gH_maLsZlw4FfTE1MQfHXCUHv-iOTLp4n4t0wjMB_Gi9tW8/2ZcYta2Tm_232XIz0IJiD6iiOG6nECtmBZLK6ySwt_U),GUS06462.jpg.jpeg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/3Pd4IE5ZFz24xY5xpPLfXA/aWE3Bfg5KOVIXOWonWisgRp-bh84ryJTvaJqW6HJ7Y62H_X1wvrlqrY4jHoHUFsVhppTUlAjxbdS9tVLwUqDDaws3bMWf1qz2R3pkjVdPQxAQ4WNC5LJTRAMxj2YDeuXiC9RLKKg5_ntZoS1OvQwH2vT8CIFtV_TGdzdwWB6tzE/NE9WwccPGu5LlA5tdYVpMyqXckeombLswvdwvHO9mYQ)",6/5/2026,PUBLICADO ,GASTRONOMÍA,"FACEBOOK,INSTAGRAM",,,,,,,,Marcela Cristina Mathon
,PIEDRA DE LA AGUJA,"Hay paisajes que te roban las palabras ✨

Piedra de la Aguja es esa alternativa que lo tiene todo: un recorrido serpenteante por el bosque, formaciones rocosas majestuosas y panorámicas infinitas que solo la Patagonia te puede regalar.

 El equilibrio perfecto entre aventura y descanso 🏔️🌿

📲 Coordiná tu visita antes de ir:
Bernardino Díaz: +54 9 2945 655299
Rosa González: +54 9 2945 604228

📍 Esquel, Patagonia Argentina.
#PiedraDeLaAguja #Esquel #Senderismo #TurismoRural #AltorioPercy ",Video.Guru_20260416_100145641.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/cqqdHo-tuRnQq4FN-p0Usw/5mOpugQ_q16wI11GWto_D2ZMdWsC3dBBWxFTKAElL_kZTHuE5zD5lX2Mv_mDb2YC0didhViur8nCXkoUZpm-gOuHv_Edo0htOmWM1-AFzvZHzUOv6uAug3knA-aw17vHa3Bu3CZ3plyGO2SR5ceU5ypYEsAZcRhTPVmsS8uCSR8cVOcubp_Tz77UG7LJzO5c/2QQLOIXpcgbEnF029X4xP_0qfMnnEurJzPJ-GfTpAg8),8/5/2026,PUBLICADO ,SENDERO,"FACEBOOK,INSTAGRAM,TIKTOK",,,,468.0,10625.0,,,Marcela Cristina Mathon
,Camino a La Hoya con Nube ,"ACÁ la naturaleza no solo se mira: se siente

Un corazón suspendido en la altura para recordarnos que somos parte de este todo maravilloso. 
Levantar la vista en Esquel es siempre encontrarse con algo sorprendente.

#EsquelPatagoniaArgentina #Trekking #Montañas #Cielos #Naturaleza ",VideoCapture_20250519-092948 (2).jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/AUtX08b-riY9rVyPbqKEpg/Jja96GEZgxz-8jymb-X6sNk6znDqrBeK3OnOc66Wx_AZf-CxdZ42WHBJabwZE4LuqGIkgLMtZviTXO9glAeOow5BWrc6tzlrXxJc421Z6uUTj53zd464-w96UDzS-YXYdRhPvecjSHuTz2D1cqyznlgCtB2DWRHq5ansQoXshEr0KNe0hQrxvEcT4TBUKStY/ll6Z7XC60LWuvpjO_SXMZruiqT_Q-E-gTQCfFVlsvlo),9/5/2026,PUBLICADO ,"AVENTURA,PAISAJE","FACEBOOK,INSTAGRAM",,,,158.0,4800.0,,,
,Micosenda Alto Río Percy colaborativa ,Un sendero para aprender de hongos ,,11/5/2026,PUBLICADO ,"EVENTOS,SENDERO",INSTAGRAM,,,,139.0,,,,
,Aniversario del Parque ,"PARQUE NACIONAL LOS ALERCES
Hoy celebramos 89 años custodiando la vida en el corazón de la Patagonia.
Un santuario donde los bosques guardan siglos de silencio y los lagos reflejan un verde que las palabras no alcanzan a nombrar.
Más que un paisaje, es el refugio de especies únicas y un legado que nos pertenece a todos.

🌍 PN Los Alerces Patrimonio Mundial UNESCO. 
📍 Esquel, Patagonia Argentina

@pn_los_alerces
 
#Esquel #Patagonia #ParqueNacional #PatagoniaArgentina #ParqueNacionalLosAlerces",20250520_112624.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/n8BBZUKRfdAsf7HbovkTgQ/p4vl5N12rlg1964oXLH4Rrg76bqhzBbrTxYyJL4CCLqrkN7brEIt99Uq-8nDs5ZKRMhY2oGbGN6uPmgVfeCVKIbasntdIzX26QzRpnnlEr4w03clt6gEbADdTjk1Dp5s2yHmtqca_90LPjUSwVgrTh7W4mQ4p-vbvRHVF2CZuhU/PzQ5k5V640KTJedAlXH_KwAler8HFJHRBkWaQljD8yA),11/5/2026,PUBLICADO ,EFEMÉRIDES,"FACEBOOK,INSTAGRAM",,,,651.0,11700.0,,,
